target_label,current_examples,priority,phase,description,business_tags,sector,category,niche,notes
Financial Services,5,HIGH,Phase 1 - Quick Wins,,,,,,Target: 10 total examples
Financial Services,5,HIGH,Phase 1 - Quick Wins,,,,,,Target: 10 total examples
Financial Services,5,HIGH,Phase 1 - Quick Wins,,,,,,Target: 10 total examples
Financial Services,5,HIGH,Phase 1 - Quick Wins,,,,,,Target: 10 total examples
Financial Services,5,HIGH,Phase 1 - Quick Wins,,,,,,Target: 10 total examples
Commercial Communication Equipment Installation,4,HIGH,Phase 1 - Quick Wins,,,,,,Target: 8 total examples
Commercial Communication Equipment Installation,4,HIGH,Phase 1 - Quick Wins,,,,,,Target: 8 total examples
Commercial Communication Equipment Installation,4,HIGH,Phase 1 - Quick Wins,,,,,,Target: 8 total examples
Commercial Communication Equipment Installation,4,HIGH,Phase 1 - Quick Wins,,,,,,Target: 8 total examples
Livestock Dealer Services,4,HIGH,Phase 1 - Quick Wins,,,,,,Target: 8 total examples
Livestock Dealer Services,4,HIGH,Phase 1 - Quick Wins,,,,,,Target: 8 total examples
Livestock Dealer Services,4,HIGH,Phase 1 - Quick Wins,,,,,,Target: 8 total examples
Livestock Dealer Services,4,HIGH,Phase 1 - Quick Wins,,,,,,Target: 8 total examples
Training Services,4,HIGH,Phase 1 - Quick Wins,,,,,,Target: 8 total examples
Training Services,4,HIGH,Phase 1 - Quick Wins,,,,,,Target: 8 total examples
Training Services,4,HIGH,Phase 1 - Quick Wins,,,,,,Target: 8 total examples
Training Services,4,HIGH,Phase 1 - Quick Wins,,,,,,Target: 8 total examples
Laboratory Services,3,HIGH,Phase 1 - Quick Wins,,,,,,Target: 6 total examples
Laboratory Services,3,HIGH,Phase 1 - Quick Wins,,,,,,Target: 6 total examples
Laboratory Services,3,HIGH,Phase 1 - Quick Wins,,,,,,Target: 6 total examples
Manufacturing,3,HIGH,Phase 1 - Quick Wins,,,,,,Target: 6 total examples
Manufacturing,3,HIGH,Phase 1 - Quick Wins,,,,,,Target: 6 total examples
Manufacturing,3,HIGH,Phase 1 - Quick Wins,,,,,,Target: 6 total examples
Confectionery Manufacturing,3,HIGH,Phase 1 - Quick Wins,,,,,,Target: 6 total examples
Confectionery Manufacturing,3,HIGH,Phase 1 - Quick Wins,,,,,,Target: 6 total examples
Confectionery Manufacturing,3,HIGH,Phase 1 - Quick Wins,,,,,,Target: 6 total examples
Industrial Machinery Installation,3,HIGH,Phase 1 - Quick Wins,,,,,,Target: 6 total examples
Industrial Machinery Installation,3,HIGH,Phase 1 - Quick Wins,,,,,,Target: 6 total examples
Industrial Machinery Installation,3,HIGH,Phase 1 - Quick Wins,,,,,,Target: 6 total examples
Wood Product Manufacturing,3,HIGH,Phase 1 - Quick Wins,,,,,,Target: 6 total examples
Wood Product Manufacturing,3,HIGH,Phase 1 - Quick Wins,,,,,,Target: 6 total examples
Wood Product Manufacturing,3,HIGH,Phase 1 - Quick Wins,,,,,,Target: 6 total examples
Agricultural Equipment Services,3,HIGH,Phase 1 - Quick Wins,,,,,,Target: 6 total examples
Agricultural Equipment Services,3,HIGH,Phase 1 - Quick Wins,,,,,,Target: 6 total examples
Agricultural Equipment Services,3,HIGH,Phase 1 - Quick Wins,,,,,,Target: 6 total examples
Payment Processing & Point of Sale,2,HIGH,Phase 1 - Quick Wins,,,,,,Target: 4 total examples
Payment Processing & Point of Sale,2,HIGH,Phase 1 - Quick Wins,,,,,,Target: 4 total examples
Environmental Consulting,2,HIGH,Phase 1 - Quick Wins,,,,,,Target: 4 total examples
Environmental Consulting,2,HIGH,Phase 1 - Quick Wins,,,,,,Target: 4 total examples
Manufacturing Services,2,HIGH,Phase 1 - Quick Wins,,,,,,Target: 4 total examples
Manufacturing Services,2,HIGH,Phase 1 - Quick Wins,,,,,,Target: 4 total examples
Media Production Services,2,HIGH,Phase 1 - Quick Wins,,,,,,Target: 4 total examples
Media Production Services,2,HIGH,Phase 1 - Quick Wins,,,,,,Target: 4 total examples
Marketing Services,2,HIGH,Phase 1 - Quick Wins,,,,,,Target: 4 total examples
Marketing Services,2,HIGH,Phase 1 - Quick Wins,,,,,,Target: 4 total examples
